Rechargeable power source for a portable device. ,Battery
Input device used to type text and commands. ,Keyboard
Individual buttons used for typing or commands. ,Keys
Temporary storage for data currently in use. ,Random Access Memory (RAM)
Magnetic storage device with spinning platters. ,Hard Disk Drive (HDD)
Flash-based storage device with no moving parts. ,Solid State Drive (SSD)
Internal components that provide wireless network connectivity. ,Wireless Cards
Authentication using unique physical characteristics. ,Biometrics
Short-range wireless communication used for contactless data exchange. ,Near Field Scanner
Small internal component that sends and receives wireless network signals. ,Wi-Fi Antenna 
Input device used to capture images or video. ,Camera / Webcam
Input device used to capture sound. ,Microphone
