Standard used to connect peripherals and transfer data or power.,Universal Serial Bus (USB)
"Reversible oval-shaped plug used for data, power, and video.",USB-C
"Smaller, flatter five-pin plug once common on Android phones and accessories. ",microUSB
Older five-pin plug commonly found on cameras and GPS devices. ,miniUSB
Apple-designed reversible plug used for charging and data transfer.,Lightning
Technology that exchanges data when devices are held a few centimeters apart.,Near Field Communication (NFC)
Short-range radio technology for linking nearby devices and peripherals.,Bluetooth
Sharing one device's cellular internet connection with another.,Tethering
Feature that creates a local Wi-Fi access point using a cellular connection.,Hotspot
"Pen-shaped input tool used to write, draw, or tap on a touchscreen.",Stylus
Wearable audio device combining headphones and a microphone.,Headset
Output devices that produce audible sound.,Speakers
Small video-capture device used for calls and recording.,Webcam
"Accessory that expands a portable computer with power, displays, networking, and peripheral connections.",Docking Station
Accessory that provides multiple external interfaces through a single attachment.,Port Replicator
Touch-sensitive surface used to move the pointer and perform gestures.,Trackpad
Flat input surface used with a pen-shaped tool for digital writing or artwork.,Drawing Pad
Small pressure-sensitive nub used to move the on-screen pointer.,Track Point
